title;type;url_slug;venue;date;location;description
Genuine (response-field) Langevin equations for reaction-diffusion processes ;Contributed talk;talk-1;Journées de Physique Statistique;2016-01-28; ESPCI, Paris, France;
Langevin equations for reaction-diffusion processes;Contributed talk;talk-2;DPG Spring Meeting;2018-03-12;Technische Universität Berlin, Berlin, Germany;
Frequency regulators for the nonperturbative renormalization group in nonequilibrium systems;Contributed talk;talk-3;Exact Renormalization Group (ERG2018);2018-07-10;Sorbonne Université, Paris, France;
Fluid pumping can drive lumen nucleation and thickness oscillations in a cell spheroid;Contributed talk;talk-4;Circle Meeting;2019-03-27;Saarland Universität, Saarbrücken, Germany;
Dynamical phase transition in assemblies of chemotactic cells;Contributed talk;talk-5;DPG Spring Meeting, Focus Session on Stochastic processes in biology;2019-04-04;Regensburg Universität,  Regensburg, Germany;
Hydraulic and electric control of cell spheroids;Contributed talk;talk-6;Virtual APS March Meeting;2021-03-16;online conference;
Hydraulic and electric control of cell spheroids;Contributed talk;talk-7;Virtual DPG Spring Meeting;2021-03-23;online conference;
Nonlinear rheology of cellular networks;Contributed talk;talk-8;Physical Biology Circle Meeting;2021-09-15;Max Planck Institute for the Physics of Complex Systems, Dresden, Germany;
Nonequilibrium critical phenomena: exact Langevin equations, erosion of tilted landscapes;Seminar;seminar-1;Max Planck Institute for the Physics of Complex Systems;2017-03-30;Dresden, Germany;
Collective dynamics of chemotactic cells;Seminar;seminar-2;Laboratoire de Physique;2020-01-07;École Normale Supérieure de Lyon, Lyon, France;
Collective dynamics of chemotactic cells;Seminar;seminar-3;Laboratoire Interdisciplinaire de Physique;2020-01-09;Université Grenoble-Alpes, Grenoble, France;
Collective dynamics of chemotactic cells;Seminar;seminar-4;Laboratoire Matière et Systèmes Complexes;2020-01-15;Université de Paris, Paris, France;
Quorum effects in assemblies of chemotactic cells;Seminar;seminar-5;Laboratoire de Physique Théorique et Modèles Statistiques (online seminar);2020-03-31;Université Paris-Orsay, Orsay, France;
Polarization mechanism for chemotaxis and exact scaling exponent in assemblies of cells;Seminar;seminar-6;Centre de Physique Théorique (online seminar);2020-10-14;Aix-Marseille Université, Marseille, France;
Fluid pumping, lumen nucleation and electro-hydraulic phenomena in cell assemblies;Seminar;seminar-7;Laboratoire Interdisciplinaire de Physique (online seminar);2020-11-02;Université Grenoble-Alpes, Grenoble, France;
Fluid pumping, lumen nucleation and electro-hydraulic phenomena in cell assemblies;Seminar;seminar-8;Laboratoire Jean Perrin (online seminar);2020-11-10;Sorbonne Université, Paris, France ;
Hysteresis, phase transitions and dangerous transients in power distribution systems;Poster;poster-1;Optimization and Control of Smart Grids;2012-05-21;Santa Fe, New Mexico, USA;
Langevin equations for reaction-diffusion processes;Poster;poster-2;Beg Rohu summer school, France;2016-08-01;Beg Rohu, France;
Langevin equations for reaction-diffusion processes;Poster;poster-3;42nd Conference of the Middle European Cooperation in Statistical Physics;2017-02-09;École Normale Supérieure de Lyon, Lyon, France;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-4;Les Houches summer school, France;2018-08-01;Les Houches, France;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-5;Key Challenges in Statistical Physics (MECO 44);2019-05-01;Kloster Seeon, Munich, Germany;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-6;Mechanical Forces in Development;2019-07-03;EMBL, Heidelberg, Germany;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-7;Fluid Physics of Life;2019-10-21;Max Planck Institute for the Physics of Complex Systems, Dresden, Germany;
Fluid pumping and active flexoelectricity can promote lumen nucleation in cell assemblies;Poster;poster-8;Organoids : Modelling Organ Development and Disease in 3D Culture;2020-10-21;online conference;
Hydraulic and electric control of cell spheroids;Poster;poster-9;EMBO Workshop Physics of living systems: From molecules to tissues;2021-06-07;online conference;
Hydraulic and electric control of cell spheroids;Poster;poster-10;Physics Meets Biology;2021-07-26;online conference;
