title;type;url_slug;venue;date;location;description
Dynamical phase transition in assemblies of chemotactic cells;Invited talk;inv-talk-1;DPG Spring Meeting, Focus Session on Stochastic processes in biology;2019-04-04;Regensburg Universität,  Regensburg, Germany;
Fluid pumping and flexoelectricity can drive lumen nucleation in cell spheroids;Invited talk;inv-talk-2;"Labex ""Who am I?"" 2022 annual meeting";2022-12-12;ENSA, Paris, France;
Genuine (response-field) Langevin equations for reaction-diffusion processes ;Contributed talk;talk-1;Journées de Physique Statistique;2016-01-28;ESPCI, Paris, France;
Langevin equations for reaction-diffusion processes;Contributed talk;talk-2;DPG Spring Meeting;2018-03-12;Technische Universität Berlin, Berlin, Germany;
Frequency regulators for the nonperturbative renormalization group in nonequilibrium systems;Contributed talk;talk-3;Exact Renormalization Group (ERG2018);2018-07-10;Sorbonne Université, Paris, France;
Fluid pumping can drive lumen nucleation and thickness oscillations in a cell spheroid;Contributed talk;talk-4;Circle Meeting;2019-03-27;Saarland Universität, Saarbrücken, Germany;
Hydraulic and electric control of cell spheroids;Contributed talk;talk-5;Virtual APS March Meeting;2021-03-16;online conference;
Hydraulic and electric control of cell spheroids;Contributed talk;talk-6;Virtual DPG Spring Meeting;2021-03-23;online conference;
Nonlinear rheology of cellular networks;Contributed talk;talk-7;Physical Biology Circle Meeting;2021-09-15;Max Planck Institute for the Physics of Complex Systems, Dresden, Germany;
Hydraulic and electric control of a cell spheroid;Contributed talk;talk-8;New frontiers in liquid matter;2022-07-07;Sorbonne Université, Paris, France;
Stochastic dynamics of chemotactic colonies with logistic growth;Contributed talk;talk-9;Journées de Physique Statistique;2023-01-26;École Normale Supérieure de Paris, France;
Stochastic dynamics of chemotactic colonies with logistic growth;Contributed talk;talk-10;Sitges conference on Statistical Mechanics;2023-05-29;Hotel Calipolis, Sitges, Spain;
Nonequilibrium critical phenomena: exact Langevin equations, erosion of tilted landscapes;Seminar;seminar-1;Max Planck Institute for the Physics of Complex Systems;2017-03-30;Dresden, Germany;
Collective dynamics of chemotactic cells;Seminar;seminar-2;Laboratoire de Physique;2020-01-07;École Normale Supérieure de Lyon, Lyon, France;
Collective dynamics of chemotactic cells;Seminar;seminar-3;Laboratoire Interdisciplinaire de Physique;2020-01-09;Université Grenoble-Alpes, Grenoble, France;
Collective dynamics of chemotactic cells;Seminar;seminar-4;Laboratoire Matière et Systèmes Complexes;2020-01-15;Université de Paris, Paris, France;
Quorum effects in assemblies of chemotactic cells;Seminar;seminar-5;Laboratoire de Physique Théorique et Modèles Statistiques (online seminar);2020-03-31;Université Paris-Orsay, Orsay, France;
Polarization mechanism for chemotaxis and exact scaling exponent in assemblies of cells;Seminar;seminar-6;Centre de Physique Théorique (online seminar);2020-10-14;Aix-Marseille Université, Marseille, France;
Fluid pumping, lumen nucleation and electro-hydraulic phenomena in cell assemblies;Seminar;seminar-7;Laboratoire Interdisciplinaire de Physique (online seminar);2020-11-02;Université Grenoble-Alpes, Grenoble, France;
Fluid pumping, lumen nucleation and electro-hydraulic phenomena in cell assemblies;Seminar;seminar-8;Laboratoire Jean Perrin (online seminar);2020-11-10;Sorbonne Université, Paris, France ;
